STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,AGE,CATEGORY,,"GENERAL
VOTES","TOTAL
VOTES",TOTAL ELECTORS,,,,,
Telangana,ADILABAD,SOYAM BAPU RAO,1,BJP,Lotus,MALE,52,ST,,376892,377374,1489790,,,,,
Telangana,ADILABAD,Godam Nagesh,0,TRS,Car,MALE,54,ST,,318665,318814,1489790,,,,,
Telangana,ADILABAD,RATHOD RAMESH,0,INC,Hand,MALE,52,ST,,314057,314238,1489790,,,,,
Telangana,ADILABAD,NOTA,0,NOTA,,,,,,13030,13036,1489790,,,,,
Uttar Pradesh,AGRA,Satyapal Singh Baghel,1,BJP,Lotus,MALE,58,SC,,644459,646875,1937690,,,,,
Uttar Pradesh,AGRA,Manoj Kumar Soni,0,BSP,Elephant,MALE,47,SC,,434199,435329,1937690,,,,,
Uttar Pradesh,AGRA,Preeta Harit,0,INC,Hand,FEMALE,54,SC,,44877,45149,1937690,,,,,
Maharashtra,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,BJP,Lotus,MALE,37,GENERAL,,696961,704660,1861396,,,,,
Maharashtra,AHMADNAGAR,SANGRAM ARUNKAKA JAGTAP,0,NCP,Clock,MALE,34,GENERAL,,419364,423186,1861396,,,,,
Maharashtra,AHMADNAGAR,SUDHAKAR LAXMAN AVHAD,0,VBA,Cup & Saucer,MALE,62,GENERAL,,31644,31807,1861396,,,,,
Gujarat,AHMEDABAD EAST,Patel Hasmukhbhai Somabhai,1,BJP,Lotus,MALE,58,GENERAL,,745810,749834,1811851,,,,,
Gujarat,AHMEDABAD EAST,Gitaben Patel,0,INC,Hand,FEMALE,38,GENERAL,,312883,315504,1811851,,,,,
Gujarat,AHMEDABAD WEST,DR. KIRIT P. SOLANKI,1,BJP,Lotus,MALE,69,SC,,638241,641622,1643317,,,,,
Gujarat,AHMEDABAD WEST,RAJU PARMAR,0,INC,Hand,MALE,68,SC,,317797,320076,1643317,,,,,
Gujarat,AHMEDABAD WEST,NOTA,0,NOTA,,,,,,14580,14719,1643317,,,,,
Gujarat,AHMEDABAD WEST,TRIBHOVANDAS KARSANDAS VAGHELA,0,BSP,Elephant,MALE,66,SC,,9909,10028,1643317,,,,,
Rajasthan,AJMER,Bhagirath Chaudhary,1,BJP,Lotus,MALE,64,GENERAL,,811091,815076,1876346,,,,,
Rajasthan,AJMER,Riju Jhunjhunwala,0,INC,Hand,MALE,40,GENERAL,,397420,398652,1876346,,,,,
Rajasthan,AJMER,Durga Lal Regar,0,BSP,Elephant,MALE,60,SC,,13547,13618,1876346,,,,,
Rajasthan,AJMER,Vishram Babu,0,APoI,Coat,MALE,60,SC,,13036,13041,1876346,,,,,
Uttar Pradesh,AKBARPUR,Devendra Singh 'Bhole',1,BJP,Lotus,MALE,64,GENERAL,,577603,581282,1766121,,,,,
Uttar Pradesh,AKBARPUR,Nisha Sachan,0,BSP,Elephant,FEMALE,46,GENERAL,,304553,306140,1766121,,,,,
Uttar Pradesh,AKBARPUR,Rajaram Pal,0,INC,Hand,MALE,58,GENERAL,,107592,108341,1766121,,,,,
Maharashtra,AKOLA,Dhotre Sanjay Shamrao,1,BJP,Lotus,MALE,60,GENERAL,,552898,554444,1865169,,,,,
Maharashtra,AKOLA,Ambedkar (Adv) Prakash Yashwant,0,VBA,Cup & Saucer,MALE,64,GENERAL,,278241,278848,1865169,,,,,
Maharashtra,AKOLA,Hidayatullah Barakatullah Patel,0,INC,Hand,MALE,60,GENERAL,,254094,254370,1865169,,,,,
Kerala,ALAPPUZHA,Adv. A M ARIFF,1,CPI(M),"Hammer, Sickle and Star",MALE,54,GENERAL,,443003,445970,1356701,,,,,
Kerala,ALAPPUZHA,Adv. SHANIMOL OSMAN,0,INC,Hand,FEMALE,52,GENERAL,,433790,435496,1356701,,,,,
Kerala,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,0,BJP,Lotus,MALE,64,GENERAL,,186278,187729,1356701,,,,,
Kerala,ALATHUR,RAMYA HARIDAS,1,INC,Hand,FEMALE,32,SC,,532493,533815,1266794,,,,,
Kerala,ALATHUR,DR. P.K.BIJU,0,CPI(M),"Hammer, Sickle and Star",MALE,44,SC,,373696,374847,1266794,,,,,
Kerala,ALATHUR,T.V.BABU,0,BDJS,Pot,MALE,61,SC,,89575,89837,1266794,,,,,
Uttar Pradesh,ALIGARH,SATISH KUMAR GAUTAM,1,BJP,Lotus,MALE,46,GENERAL,,651805,656215,1887127,,,,,
Uttar Pradesh,ALIGARH,DR. AJEET BALIYAN,0,BSP,Elephant,MALE,51,GENERAL,,424890,426954,1887127,,,,,
Uttar Pradesh,ALIGARH,BIJENDRA SINGH CHAUDHARY,0,INC,Hand,MALE,62,GENERAL,,50346,50880,1887127,,,,,
West Bengal,ALIPURDUARS,JOHN BARLA,1,BJP,Lotus,MALE,43,ST,,747788,750804,1648383,,,,,
West Bengal,ALIPURDUARS,DASRATH TIRKEY,0,AITC,Flowers and Grass,MALE,52,ST,,505885,506815,1648383,,,,,
West Bengal,ALIPURDUARS,MILI ORAON,0,RSP,Spade & Stoker,FEMALE,42,ST,,53859,54010,1648383,,,,,
